#-------------------------------------------
# Food Diary Report - Detailed Report,"Sunday, March 14, 2021","Saturday, March 20, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,2099,58.44,233.03,169.49
Breakfast,448,14.05,53.77,29.07
Lunch,508,11.95,49.35,53.25
Dinner,725,21.33,76.19,57.16
Snacks/Other,418,11.11,53.72,30

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Sunday, March 14, 2021",1505,40.12,10.027,147.79,24.8,40.55,150.34,905.88,199,711
 Breakfast,259,11.27,5.814,20.09,4,0.34,19.83,390.4,199,59
  Davaca Queijo Mussarela Light,64,3.2,2.4,0,0,,8,112,0,
"   1 fatia, 30 g"
  Regina Creme de Ricota Light,40,2.7,1.7,1.3,0,,2.6,67,13,
"   1 1/2 colher de sopa, 30 g"
  Limiar Pão Australiano,71,0.4,0,14.4,4,,3.04,134.4,,
   40 g
  Egg,65,4.37,1.364,0.34,0,0.34,5.54,62,186,59
   1 medium
  Linea Doce de Leite Zero Açúcar,19,0.6,0.35,4.05,0,,0.65,15,0,
"   1/2 x 1 colher de sopa, 10 g"
 Lunch,262,7.98,1.03,11.9,1.3,,35.7,103.5,0,0
  Azeite de Oliva Extra Virgem,58,6.48,1.03,0,0,,0,0,0,0
   7 ml
  Perdigão Filé de Peito,152,1.5,0,0,0,,34.5,103.5,0,
   150 g
  Batata Inglesa (Cozida),52,0,,11.9,1.3,,1.2,,,
   100 g
 Dinner,236,8.08,1.082,6.5,0.5,1.36,35.5,104.5,0,340
  Azeite de Oliva Extra Virgem,58,6.48,1.03,0,0,,0,0,0,0
   7 ml
  Perdigão Filé de Peito,152,1.5,0,0,0,,34.5,103.5,0,
   150 g
  Pumpkin,26,0.1,0.052,6.5,0.5,1.36,1,1,0,340
   100 g
 Snacks/Other,748,12.79,2.101,109.3,19,38.85,59.31,307.48,0,312
  Silver Banana,160,0.59,0.202,41.11,4.7,22.01,1.96,2,0,
   180 g
  Regina Leite Zero Desnatado,36,0.4,0.25,5,,,3,55,,
"   1/2 x 1 porção, 100 ml"
  Growth Supplements Whey Protein Concentrado 80%,184,2.4,0,6,0,,34.5,79.5,0,
"   1 1/2 x 1 porção, 45 g"
  Apple,78,0.26,0.042,20.72,3.6,15.58,0.39,2,0,160
   150 g
  Itambé Leite em Pó Desnatado,102,0,,15,,,10.35,120,,
"   1 1/2 x 1 colher de sopa, 30 g"
  A Granel Farelo de Aveia,66,1.55,0.3,9,2.8,,3.55,0,,
"   1/2 x 1 porção, 20 g"
  Cocoa Powder,23,1.37,0.807,5.43,3.3,0.18,1.96,2,0,152
   10 g
  Mãe Terra Farinha de Linhaça Dourada,66,6,0.5,0.2,4.1,0,2.7,4.5,0,
"   2 colheres de sopa, 15 g"
  Marilan Magic Toast Integral,33,0.22,0,6.84,0.5,1.08,0.9,42.48,0,
   9 g

"Monday, March 15, 2021",1854,46.85,16.759,212.93,27.05,23.09,148.41,1626.52,380.67,1083.9
 Breakfast,267,11.44,6.044,19.66,4,0.34,21.62,405.39,194.67,59
  Limiar Pão Australiano,71,0.4,0,14.4,4,,3.04,134.4,,
   40 g
  Egg,65,4.37,1.364,0.34,0,0.34,5.54,62,186,59
   1 medium
  Regina Creme de Ricota Light,27,1.8,1.13,0.87,0,,1.73,44.69,8.67,
   20 g
  Davaca Queijo Mussarela Light,85,4.27,3.2,0,0,,10.66,149.3,0,
   40 g
  Linea Doce de Leite Zero Açúcar,19,0.6,0.35,4.05,0,,0.65,15,0,
"   1/2 x 1 colher de sopa, 10 g"
 Lunch,558,9.1,1.119,66.56,11.82,12.36,55.66,265,0,582.2
  Azeite de Oliva Extra Virgem,58,6.48,1.03,0,0,,0,0,0,0
   7 ml
  Silver Banana,53,0.2,0.067,13.7,1.6,7.34,0.65,1,0,
   60 g
  Filé de Peito,202,2,0,0,0,,46,138,0,
   200 g
